timestamp,total_balance,total_equity,total_return_pct,num_positions,position_details,total_margin,net_unrealized_pnl
2025-10-31T21:51:41.759218,6391.00,499593.11,-0.08,4,NVDA:long:1022.1135@206.3200; TSLA:long:1171.5654@447.4300; PLTR:long:1305.2396@201.6300; MSTR:long:1793.9583@268.3200,493202.10,0.00
2025-10-31T21:55:53.241026,6391.00,501020.33,0.20,4,NVDA:long:1022.1135@206.3200; TSLA:long:1171.5654@447.4300; PLTR:long:1305.2396@201.6300; MSTR:long:1793.9583@268.3200,493202.10,1427.22
2025-10-31T21:59:58.995220,6391.00,502637.26,0.53,4,NVDA:long:1022.1135@206.3200; TSLA:long:1171.5654@447.4300; PLTR:long:1305.2396@201.6300; MSTR:long:1793.9583@268.3200,493202.10,3044.16
2025-10-31T22:04:03.254308,67571.43,503752.45,0.75,4,TSLA:long:1171.5654@447.4300; PLTR:long:1305.2396@201.6300; MSTR:long:1793.9583@268.3200; BYND:short:12500.0000@1.5900,430857.95,5323.07
2025-10-31T22:08:09.259684,33747.17,506971.60,1.39,5,TSLA:long:1171.5654@447.4300; PLTR:long:1305.2396@201.6300; MSTR:long:1793.9583@268.3200; BYND:short:12500.0000@1.5900; NVDA:long:493.2939@205.5350,464654.34,8570.09
2025-10-31T22:12:27.959614,5282.48,505030.51,1.01,5,TSLA:long:1171.5654@447.4300; PLTR:long:1305.2396@201.6300; MSTR:long:1793.9583@268.3200; NVDA:long:493.2939@205.5350; SQQQ:short:5497.1429@13.0100,492463.25,7284.77
2025-10-31T22:16:43.055901,131047.23,501990.74,0.40,5,TSLA:long:1171.5654@447.4300; PLTR:long:1305.2396@201.6300; NVDA:long:493.2939@205.5350; SQQQ:short:5497.1429@13.0100; SOXS:long:19390.0000@3.2250,363278.00,7665.51
2025-10-31T22:20:53.554173,195968.06,503243.69,0.65,3,TSLA:long:1171.5654@447.4300; PLTR:long:1305.2396@201.6300; SQQQ:short:5497.1429@13.0100,298215.23,9060.40
2025-10-31T22:25:00.975722,114046.97,504158.45,0.83,4,TSLA:long:1171.5654@447.4300; PLTR:long:1305.2396@201.6300; SQQQ:short:5497.1429@13.0100; NVDA:long:1196.9811@205.1500,380068.79,10042.69
2025-10-31T22:29:02.928047,83936.76,506362.89,1.27,5,TSLA:long:1171.5654@447.4300; PLTR:long:1305.2396@201.6300; SQQQ:short:5497.1429@13.0100; NVDA:long:1196.9811@205.1500; BYND:short:47610.0000@1.5800,410158.31,12267.81
2025-10-31T22:33:08.455782,262442.86,506621.49,1.32,4,PLTR:long:1305.2396@201.6300; NVDA:long:1196.9811@205.1500; BYND:short:47610.0000@1.5800; MSTR:short:384.2228@269.4350,241077.46,3101.16
2025-10-31T22:37:12.235786,219227.07,507591.02,1.52,6,PLTR:long:1305.2396@201.6300; NVDA:long:1196.9811@205.1500; BYND:short:47610.0000@1.5800; TSLA:short:214.6341@454.6200; SQQQ:long:4000.0000@12.9400; SOXS:long:11800.0000@3.2100,283518.02,4845.93
2025-10-31T22:41:19.079492,160958.84,506483.49,1.30,5,PLTR:long:1305.2396@201.6300; NVDA:long:1196.9811@205.1500; BYND:short:47610.0000@1.5800; MSTR:long:458.7711@272.6150; TQQQ:long:1931.6794@118.8100,341496.52,4028.13
2025-10-31T22:45:27.268596,62819.65,506952.52,1.39,7,PLTR:long:1305.2396@201.6300; NVDA:long:1196.9811@205.1500; BYND:short:47610.0000@1.5800; TQQQ:long:1931.6794@118.8100; TSLA:long:432.6748@454.5800; SQQQ:long:12900.0000@12.9000; SOXS:long:12500.0000@3.1800,439495.13,4637.74
2025-10-31T22:49:31.958501,63405.15,506015.22,1.20,7,PLTR:long:1305.2396@201.6300; NVDA:long:1196.9811@205.1500; BYND:short:47610.0000@1.5800; TQQQ:long:1931.6794@118.8100; TSLA:long:432.6748@454.5800; MSTR:short:340.5155@272.6500; SOXL:long:2233.9773@49.8800,438740.06,3870.01
2025-10-31T22:53:01.508549,63405.15,506607.87,1.32,7,PLTR:long:1305.2396@201.6300; NVDA:long:1196.9811@205.1500; BYND:short:47610.0000@1.5800; TQQQ:long:1931.6794@118.8100; TSLA:long:432.6748@454.5800; MSTR:short:340.5155@272.6500; SOXL:long:2233.9773@49.8800,438740.06,4462.66
